"object_type","schema_name","object_name","sub_object_name","definition","additional_info"
"AGGREGATE","pgsodium","crypto_sign_update_agg","null","AGGREGATE FUNCTION","Multi-part message signing aggregate that returns a state which can
then be finalised using crypto_sign_final() or to which other parts
can be added crypto_sign_update() or another message signing aggregate
function.

Note that when signing mutli-part messages using aggregates, the order
in which message parts is processed is critical. You *must* ensure
that the order of messages passed to the aggregate is invariant."
"AGGREGATE","pgsodium","crypto_sign_update_agg","null","AGGREGATE FUNCTION","Multi-part message signing aggregate that returns a state which can
then be finalised using crypto_sign_final() or to which other parts
can be added crypto_sign_update() or another message signing aggregate
function.

The first argument to this aggregate is the input state. This may be
the result of a previous crypto_sign_update_agg(), a previous
crypto_sign_update().

Note that when signing mutli-part messages using aggregates, the order
in which message parts is processed is critical. You *must* ensure
that the order of messages passed to the aggregate is invariant."
"COLUMN","auth","audit_log_entries","created_at","timestamp with time zone","null"
"COLUMN","auth","audit_log_entries","id","uuid NOT NULL","null"
"COLUMN","auth","audit_log_entries","instance_id","uuid","null"
"COLUMN","auth","audit_log_entries","ip_address","character varying(64) NOT NULL DEFAULT ''::character varying","null"
"COLUMN","auth","audit_log_entries","payload","json","null"
"COLUMN","auth","flow_state","auth_code","text NOT NULL","null"
"COLUMN","auth","flow_state","auth_code_issued_at","timestamp with time zone","null"
"COLUMN","auth","flow_state","authentication_method","text NOT NULL","null"
"COLUMN","auth","flow_state","code_challenge","text NOT NULL","null"
"COLUMN","auth","flow_state","code_challenge_method","auth.code_challenge_method NOT NULL","null"
"COLUMN","auth","flow_state","created_at","timestamp with time zone","null"
"COLUMN","auth","flow_state","id","uuid NOT NULL","null"
"COLUMN","auth","flow_state","provider_access_token","text","null"
"COLUMN","auth","flow_state","provider_refresh_token","text","null"
"COLUMN","auth","flow_state","provider_type","text NOT NULL","null"
"COLUMN","auth","flow_state","updated_at","timestamp with time zone","null"
"COLUMN","auth","flow_state","user_id","uuid","null"
"COLUMN","auth","identities","created_at","timestamp with time zone","null"
"COLUMN","auth","identities","email","text DEFAULT lower((identity_data ->> 'email'::text))","Auth: Email is a generated column that references the optional email property in the identity_data"
