"object_type","schema_name","object_name","column_name","data_type","is_nullable","related_object_name","description"
"CHECK","auth","audit_log_entries","null","null","null","null","16488_16519_5_not_null"
"CHECK","auth","audit_log_entries","null","null","null","null","16488_16519_2_not_null"
"CHECK","auth","flow_state","null","null","null","null","16488_28931_3_not_null"
"CHECK","auth","flow_state","null","null","null","null","16488_28931_1_not_null"
"CHECK","auth","flow_state","null","null","null","null","16488_28931_5_not_null"
"CHECK","auth","flow_state","null","null","null","null","16488_28931_11_not_null"
"CHECK","auth","flow_state","null","null","null","null","16488_28931_6_not_null"
"CHECK","auth","flow_state","null","null","null","null","16488_28931_4_not_null"
"CHECK","auth","identities","null","null","null","null","16488_28728_1_not_null"
"CHECK","auth","identities","null","null","null","null","16488_28728_2_not_null"
"CHECK","auth","identities","null","null","null","null","16488_28728_9_not_null"
"CHECK","auth","identities","null","null","null","null","16488_28728_3_not_null"
"CHECK","auth","identities","null","null","null","null","16488_28728_4_not_null"
"CHECK","auth","instances","null","null","null","null","16488_16512_1_not_null"
"CHECK","auth","mfa_amr_claims","null","null","null","null","16488_28818_3_not_null"
"CHECK","auth","mfa_amr_claims","null","null","null","null","16488_28818_2_not_null"
"CHECK","auth","mfa_amr_claims","null","null","null","null","16488_28818_1_not_null"
"CHECK","auth","mfa_amr_claims","null","null","null","null","16488_28818_4_not_null"
"CHECK","auth","mfa_amr_claims","null","null","null","null","16488_28818_5_not_null"
"CHECK","auth","mfa_challenges","null","null","null","null","16488_28806_2_not_null"
"CHECK","auth","mfa_challenges","null","null","null","null","16488_28806_1_not_null"
"CHECK","auth","mfa_challenges","null","null","null","null","16488_28806_5_not_null"
"CHECK","auth","mfa_challenges","null","null","null","null","16488_28806_3_not_null"
"CHECK","auth","mfa_factors","null","null","null","null","16488_28793_2_not_null"
"CHECK","auth","mfa_factors","null","null","null","null","16488_28793_7_not_null"
"CHECK","auth","mfa_factors","null","null","null","null","16488_28793_6_not_null"
"CHECK","auth","mfa_factors","null","null","null","null","16488_28793_5_not_null"
"CHECK","auth","mfa_factors","null","null","null","null","16488_28793_4_not_null"
"CHECK","auth","mfa_factors","null","null","null","null","16488_28793_1_not_null"
"CHECK","auth","one_time_tokens","null","null","null","null","16488_28981_5_not_null"
"CHECK","auth","one_time_tokens","null","null","null","null","one_time_tokens_token_hash_check"
"CHECK","auth","one_time_tokens","null","null","null","null","16488_28981_3_not_null"
"CHECK","auth","one_time_tokens","null","null","null","null","16488_28981_2_not_null"
"CHECK","auth","one_time_tokens","null","null","null","null","16488_28981_1_not_null"
"CHECK","auth","one_time_tokens","null","null","null","null","16488_28981_6_not_null"
"CHECK","auth","one_time_tokens","null","null","null","null","16488_28981_7_not_null"
"CHECK","auth","one_time_tokens","null","null","null","null","16488_28981_4_not_null"
"CHECK","auth","refresh_tokens","null","null","null","null","16488_16501_2_not_null"
"CHECK","auth","saml_providers","null","null","null","null","16488_28860_1_not_null"
"CHECK","auth","saml_providers","null","null","null","null","16488_28860_3_not_null"
"CHECK","auth","saml_providers","null","null","null","null","16488_28860_2_not_null"
"CHECK","auth","saml_providers","null","null","null","null","metadata_xml not empty"
"CHECK","auth","saml_providers","null","null","null","null","metadata_url not empty"
"CHECK","auth","saml_providers","null","null","null","null","entity_id not empty"
"CHECK","auth","saml_providers","null","null","null","null","16488_28860_4_not_null"
"CHECK","auth","saml_relay_states","null","null","null","null","request_id not empty"
"CHECK","auth","saml_relay_states","null","null","null","null","16488_28878_1_not_null"
