"object_type","object_name","sub_object_name","definition","is_nullable","column_default"
"CONSTRAINT","2200_29627_1_not_null","users","CHECK","null","null"
"CONSTRAINT","2200_29627_2_not_null","users","CHECK","null","null"
"CONSTRAINT","2200_29627_3_not_null","users","CHECK","null","null"
"CONSTRAINT","2200_29627_4_not_null","users","CHECK","null","null"
"CONSTRAINT","2200_29643_1_not_null","groups","CHECK","null","null"
"CONSTRAINT","2200_29643_2_not_null","groups","CHECK","null","null"
"CONSTRAINT","2200_29654_1_not_null","group_members","CHECK","null","null"
"CONSTRAINT","2200_29654_2_not_null","group_members","CHECK","null","null"
"CONSTRAINT","2200_29654_3_not_null","group_members","CHECK","null","null"
"CONSTRAINT","2200_29674_1_not_null","posts","CHECK","null","null"
"CONSTRAINT","2200_29674_2_not_null","posts","CHECK","null","null"
"CONSTRAINT","2200_29695_1_not_null","conversations","CHECK","null","null"
"CONSTRAINT","2200_29704_1_not_null","conversation_participants","CHECK","null","null"
"CONSTRAINT","2200_29704_2_not_null","conversation_participants","CHECK","null","null"
"CONSTRAINT","2200_29704_3_not_null","conversation_participants","CHECK","null","null"
"CONSTRAINT","2200_29723_1_not_null","messages","CHECK","null","null"
"CONSTRAINT","2200_29723_2_not_null","messages","CHECK","null","null"
"CONSTRAINT","2200_29723_3_not_null","messages","CHECK","null","null"
"CONSTRAINT","2200_29723_4_not_null","messages","CHECK","null","null"
"CONSTRAINT","2200_29743_1_not_null","media","CHECK","null","null"
"CONSTRAINT","2200_29743_4_not_null","media","CHECK","null","null"
"CONSTRAINT","2200_29743_5_not_null","media","CHECK","null","null"
"CONSTRAINT","2200_29764_1_not_null","comments","CHECK","null","null"
"CONSTRAINT","2200_29764_2_not_null","comments","CHECK","null","null"
"CONSTRAINT","2200_29764_3_not_null","comments","CHECK","null","null"
"CONSTRAINT","2200_29764_5_not_null","comments","CHECK","null","null"
"CONSTRAINT","2200_29789_1_not_null","likes","CHECK","null","null"
"CONSTRAINT","2200_29789_2_not_null","likes","CHECK","null","null"
"CONSTRAINT","2200_29814_1_not_null","friendships","CHECK","null","null"
"CONSTRAINT","2200_29814_2_not_null","friendships","CHECK","null","null"
"CONSTRAINT","2200_29814_3_not_null","friendships","CHECK","null","null"
